PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,data_loaded_at
16055483206372,160554832,06372,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,07/04/2016,11:00,NORTHERN,NONE,1800 Block of JACKSON ST,-122.42554140157225,37.793673841081215,POINT (-122.425541402 37.793673841),2025/06/20 12:17:56 PM
16054162906244,160541629,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,18:45,NORTHERN,NONE,3600 Block of LYON ST,-122.44827840533021,37.80427188789098,POINT (-122.448278405 37.804271888),2025/06/20 12:17:56 PM
16054163503414,160541635,03414,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Monday,07/04/2016,20:05,BAYVIEW,NONE,QUESADA AV / NEWHALL ST,-122.39334076040403,37.734413932510805,POINT (-122.39334076 37.734413933),2025/06/20 12:17:56 PM
16054188964015,160541889,64015,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Monday,07/04/2016,21:15,BAYVIEW,NONE,0 Block of NICHOLS WY,-122.38723479576092,37.71940083338849,POINT (-122.387234796 37.719400833),2025/06/20 12:17:56 PM
16616627906244,166166279,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,19:00,BAYVIEW,NONE,1200 Block of JAMESTOWN AV,-122.39781154442258,37.72081596583313,POINT (-122.397811544 37.720815966),2025/06/20 12:17:56 PM
16054187327170,160541873,27170,OTHER OFFENSES,RESISTING ARREST,Monday,07/04/2016,21:20,TENDERLOIN,"ARREST, BOOKED",100 Block of ELLIS ST,-122.4082690314528,37.78538311057969,POINT (-122.408269031 37.785383111),2025/06/20 12:17:56 PM
16054055211012,160540552,11012,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Monday,07/04/2016,11:30,PARK,"ARREST, BOOKED",1300 Block of HAIGHT ST,-122.44450233369258,37.770261970240284,POINT (-122.444502334 37.77026197),2025/06/20 12:17:56 PM
16054121530200,160541215,30200,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,07/04/2016,17:07,CENTRAL,"ARREST, BOOKED",800 Block of THE EMBARCADERONORTH ST,-122.40038746482043,37.80257359916507,POINT (-122.400387465 37.802573599),2025/06/20 12:17:56 PM
16615146806244,166151468,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,15:25,NORTHERN,NONE,1400 Block of FRANCISCO ST,-122.42905949739342,37.80273926954559,POINT (-122.429059497 37.80273927),2025/06/20 12:17:56 PM
16054172619090,160541726,19090,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,07/04/2016,20:18,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147905,37.775420706711,POINT (-122.403404791 37.775420707),2025/06/20 12:17:56 PM
16054203126150,160542031,26150,OTHER OFFENSES,PAROLE VIOLATION,Monday,07/04/2016,22:25,BAYVIEW,"ARREST, BOOKED",200 Block of WILLIAMS AV,-122.39774442710336,37.729934693604356,POINT (-122.397744427 37.729934694),2025/06/20 12:17:56 PM
